Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
Nigeria,2004,626.657931,-1.666500449,25.55303,47.242,3694.764195,0.7,0,0,0,0.1,31.7,0,0,67,0.3,0,0.1,,
Peru,2004,-634.107723,-0.975715458,82.8570404,72.24,7269.979011,4.7,82.3,6.8,0,0.2,0,0,0.2,0,4.3,0,1.5,,
Philippines,2004,888.700749,-1.178786635,83.2882919,68.937,4662.660671,9.9,71.8,1.8,0,0,2.9,0,0,5.7,7.5,0,0.5,,
Serbia,2004,3037.139949,-0.762413561,89.9539871,72.4365854,10209.18352,5.9,6.1,0.3,79.1,0.2,4.3,0,0.1,0,2.4,1.6,0,,
South Africa,2004,-2108.604258,-0.162092119,85.8960266,53.749,11599.10318,13.4,11.2,63.5,0.2,0.2,2.8,1.8,0,0,3.3,0,3.5,,
Zimbabwe,2004,-1312.065222,-1.267643571,40.7238197,43.195,1687.154196,14.2,17,42.6,0.1,0,0.5,0,0,0,25.2,0,0.4,,
Spain,2004,2791.993023,0.193026617,115.791779,79.6195122,30720.22221,15.7,80.8,0.6,0.1,0.1,0.1,0.1,0.2,0,1.1,0,1.2,,
Sweden,2004,4148.843109,1.299904823,158.256393,80.095122,37730.16375,24.2,1.4,0,0,2.6,0.1,0.4,0.3,0,70.9,0,0,,
North Macedonia,2004,2870.995815,-1.155975223,79.6776733,73.2414634,8690.236926,14,0.3,0.4,59.4,0.1,25.3,0,0,0,0.2,0,0.4,,
Argentina,2005,-2650.710693,-0.041774943,96.8009872,74.451,17420.68009,14.5,75.5,0.3,0,0.2,0,0.2,6.6,0,1.7,0,0.9,,
Ethiopia,2005,631.005,-1.690383315,18.8290405,56.223,871.5463026,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2005,3189.707022,0.399723917,106.99189,80.1634146,35095.26568,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Georgia,2005,2919.763083,-0.755904913,96.2598267,70.538,7139.012454,1.5,0.3,0,93.5,0.1,3.3,0.1,0.1,0,1.1,0,0.1,,
Germany,2005,3530.432679,0.88891536,100.913528,78.9317073,37802.38743,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2005,548.310363,0.169719294,36.433979,58.719,2714.463643,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2005,1089.059499,-0.835618198,39.7856407,69.762,6524.609737,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2005,3254.212086,1.003100395,95.7624817,72.6487805,20727.88997,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
India,2005,1420.964196,-1.013880491,49.01577,64.5,3654.427508,2.9,0,0,0,0.6,8.1,75.6,1.8,3.1,4.9,0,2.6,,
Jordan,2005,2110.376316,-0.132929385,85.6754303,72.595,9574.623929,0,1.3,0.3,0.7,0,97.7,0,0,0,0,0,0,,
Malaysia,2005,290.523396,0.566449165,84.7113495,73.555,19713.87676,1.5,7,4.6,0,0.2,57.4,7.8,20.1,0,1.2,0,0.2,,
Mexico,2005,1630.780569,-0.445820868,84.0333176,75.3,14924.82161,17.1,72.2,1,0,0.1,0.1,0,0,5.6,2.9,0.1,0.9,,
Peru,2005,-634.107723,-0.975715458,81.6064072,72.908,8866.318061,11.7,70.4,12.6,0,0.1,0,0.3,0,0,3.9,0,1.1,,
Romania,2005,3170.078109,0.085602649,83.2716827,71.9121951,16782.22907,0.4,7.5,5,86.5,0.1,0.2,0,0,0,0,0,0.3,,
Serbia,2005,3037.139949,-0.762413561,89.9540329,72.8341463,12632.07784,3.7,3.9,0.7,87.1,0.6,2.7,0,0,0,0,0.1,1.1,,
South Africa,2005,-2108.604258,-0.162092119,90.5263596,53.447,12857.98651,16.2,12.1,58.5,0.2,0.1,1.2,1,0.3,1.5,6.6,2.3,0,,
Spain,2005,2791.993023,0.193026617,121.179321,80.1707317,33263.2724,18.1,79.7,0.3,0,0,0.1,0,0.2,0,0.2,0.2,1.2,,
Sweden,2005,4148.843109,1.299904823,103.819672,80.5463415,42158.2957,25,1.6,0.3,0,0,0.4,0,0,3.2,68.8,0,0.7,,
Switzerland,2005,3230.454972,1.196782112,92.4630737,81.2365854,54096.80786,19.1,36.6,37.8,0,0.6,1.6,0,0,0,3.7,0,0.7,,
Thailand,2005,1095.032208,-0.870126605,75.3994064,72.099,12256.50575,0.1,0,0.1,0,0.1,2.5,0,96.8,0,0.1,0,0.2,,
Ukraine,2005,3338.180877,-0.285366565,91.833168,67.9568293,9434.435547,25.7,7.2,0.4,60.6,0.7,0.3,0,0.2,0,0,2.2,2.9,,
United Kingdom,2005,3821.085519,0.12418776,107.039726,79.0487805,36863.58476,47,10.9,25.1,0.3,0.3,7.2,0.9,0.4,2.1,3.1,0.1,1.5,,
Uruguay,2005,-2244.071751,0.777662575,108.542,75.826,14778.27902,55,33.8,6.9,0,0.3,0,0.1,0.2,0,3.7,0,0,,
Argentina,2006,-2650.710693,0.001967763,96.3841476,74.62,16330.6328,14.5,75.5,0.3,0,0.2,0,0.2,6.6,0,1.7,0,0.9,,
Ethiopia,2006,631.005,-1.740132213,22.6457901,57.334,928.3920242,0.5,1.5,19.4,64.7,0.4,10.5,0,0.1,0,1.6,0.1,1.1,,
France,2006,3189.707022,0.595505774,106.92614,80.8121951,34678.06232,49.4,41.6,2.2,0.2,0.2,4.7,0,0.5,0.4,0.2,0.1,0.5,,
Georgia,2006,2919.763083,-0.966098785,99.2053909,70.635,6984.247646,1.5,0.3,0,93.5,0.1,3.3,0.1,0.1,0,1.1,0,0.1,,
Germany,2006,3530.432679,1.025069594,101.511398,79.1317073,36815.84405,41.9,21,0,0.6,0,1.2,0,0.2,32.7,1.4,0.2,0.8,,
Ghana,2006,548.310363,0.006396186,38.1818886,59.234,2792.265433,0,20.8,55.3,3.7,0,14.9,0,0.1,0,2.7,0.1,2.2,,
Guatemala,2006,1089.059499,-0.735238791,41.7966995,70.082,6474.796935,9,55.9,31,0,0,0.2,0,0.1,0,3.2,0.5,0,,
Hungary,2006,3254.212086,0.98567611,95.6179276,73.097561,20729.78393,29.2,47.2,16.8,3.5,0.2,0,0,0,0.7,1.4,0.2,0.8,,
