Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Netherlands,2006,3597.151677,0.902736187,117.46553,79.697561,44556.92115,4.5,7.5,21,27.6,13.3,15.6,4.3,2.6,1.5,1.1,0.6,0,1043,6.68,1.78,0.739,0.743460765
New Zealand,2006,-2822.13843,1.254492283,121.047371,80.0487805,30681.24454,22,17,24,13.8,7.1,6.6,2.1,1.4,0.2,0.7,2.4,2.9,903,7.91,1.83,0.839,0.834825871
Norway,2006,4172.569656,1.252705693,113.719719,80.3439024,55364.21942,12,18,33,18.9,7.6,7.9,1.1,1.1,0.2,0.3,0.3,0.3,1019,7.71,1.57,0.895,0.895
Peru,2006,-634.107723,-0.841553807,85.1167603,73.222,8948.761452,20.9,8.6,16,15.8,12.4,13.6,4.8,3.3,1.2,1.6,0,1.9,1472,7.13,2.23,0.737,0.723258096
Poland,2006,3582.441222,0.354031831,97.9792175,75.1439024,19239.92847,8.9,9.7,20,15.3,11.3,16.5,4.4,3.6,2.3,4.1,3.9,0,961,6.57,2.28,0.652,0.678459938
Romania,2006,3170.078109,0.148430079,84.2956696,72.1634146,16631.85819,24.4,16,18,11.7,7.1,8.8,2.6,3.6,1.5,1.2,5,0.6,1676,7.64,2.22,0.772,0.807531381
Russia,2006,4245.15669,-0.908794343,82.058342,66.727561,19389.94141,23.7,9.4,15,11.2,8.4,14.5,4.4,4.3,1.7,4.3,2.7,0.2,1974,7.03,2.56,0.677,0.694358974
Rwanda,2006,-133.879182,-0.684061944,17.4732094,57.083,1275.092744,8.4,8.2,15,17.7,20.2,17.9,5,2.5,3,1.3,0.9,0.1,1489,6.52,2.01,0.695,0.700604839
Serbia,2006,3037.139949,-0.53756845,90.62146,73.3853659,12533.96547,6.7,7.5,18,19.5,16.1,14.3,6.2,5.8,1.6,2,0.7,1.5,1193,6.45,2.06,0.678,0.672619048
Slovenia,2006,3184.435629,1.085729003,96.8665085,78.0865854,27537.75846,22.9,14,19,13.4,9.9,12,2.7,2.1,1.1,1.8,1.3,0.4,1020,7.49,2.17,0.792,0.799192735
South Africa,2006,-2108.60426,0.047030076,93.6793137,53.795,12565.29277,25.8,15,17,13.1,9.3,8.2,3.5,2.4,1.8,1.7,1.7,0,2938,7.61,2.23,0.802,0.815869786
Spain,2006,2791.993023,-0.150648654,121.06974,80.8219512,32092.36482,8.7,5.8,19,25.7,16.5,13.4,2.8,3,0.6,0.2,2.5,0.6,1148,6.88,1.73,0.757,0.77166157
Sweden,2006,4148.843109,1.293933988,103.323479,80.7487805,40279.4616,16,18,29,18.4,8.6,5.5,1.2,1.4,0.3,0.5,0,0.4,999,7.81,1.65,0.9,0.896414343
Switzerland,2006,3230.454972,1.268117428,93.1368027,81.4902439,53354.00464,18,11,26,20.4,10.5,10.3,1.3,1.7,0.3,0,0.1,0,1239,7.58,1.73,0.859,0.85985986
Thailand,2006,1095.032208,-1.130200148,76.4392471,72.499,12188.34839,6.6,9.3,29,20.7,15.1,10.3,2.6,2.5,1.2,2.6,0,0.5,1526,6.92,1.92,0.807,0.802985075
Ukraine,2006,3338.180877,-0.036877617,96.1763687,68.077561,8093.555664,6.6,8.8,14,15.2,13.1,16.2,8.3,6.1,6.6,3.3,1.7,0.2,981,6.02,2.37,0.577,0.585786802
United Kingdom,2006,3821.085519,0.667080104,99.7673416,79.2487805,35212.42048,13.9,13,22,20.5,12.5,9.9,2.4,2,1,1.2,1,0.5,1024,7.3,1.92,0.819,0.823115578
